iter	Passed	Remaining
0	181	181364
1	192	96220
2	202	67228
3	211	52629
4	217	43220
5	222	36793
6	228	32413
7	233	28897
8	237	26131
9	243	24093
10	247	22255
11	251	20734
12	257	19523
13	261	18416
14	265	17450
15	269	16597
16	275	15926
17	279	15252
18	283	14649
19	289	14204
20	294	13723
21	298	13271
22	303	12871
23	307	12523
24	312	12182
25	316	11860
26	323	11662
27	328	11387
28	332	11126
29	338	10955
30	343	10724
31	347	10500
32	351	10310
33	356	10132
34	360	9945
35	364	9773
36	370	9654
37	375	9497
38	379	9349
39	385	9256
40	390	9125
41	394	8998
42	399	8892
43	404	8790
44	408	8676
45	412	8564
46	417	8473
47	422	8371
48	426	8278
49	432	8210
50	436	8131
51	442	8067
52	448	8015
53	452	7929
54	458	7873
55	466	7866
56	471	7799
57	478	7768
58	483	7717
59	488	7656
60	495	7625
61	499	7563
62	504	7506
63	511	7484
64	516	7428
65	520	7366
66	527	7339
67	531	7284
68	535	7227
69	541	7189
70	546	7146
71	551	7102
72	555	7053
73	560	7016
74	565	6970
75	569	6924
76	575	6900
77	580	6857
78	584	6814
79	590	6789
80	594	6749
81	599	6709
82	603	6668
83	608	6637
84	612	6597
85	616	6556
86	622	6536
87	627	6505
88	632	6469
89	637	6444
90	642	6421
91	647	6387
92	651	6355
93	657	6338
94	661	6304
95	665	6270
96	671	6252
97	675	6220
98	679	6187
99	685	6171
100	690	6141
101	694	6110
102	698	6081
103	704	6066
104	708	6036
105	712	6008
106	718	5996
107	722	5969
108	726	5942
109	731	5916
110	736	5901
111	741	5876
112	745	5851
113	751	5841
114	757	5831
115	768	5853
116	773	5833
117	777	5809
118	783	5801
119	788	5778
120	794	5768
121	804	5790
122	812	5792
123	818	5781
124	822	5758
125	826	5733
126	832	5723
127	836	5700
128	840	5677
129	846	5666
130	850	5644
131	855	5622
132	859	5601
133	864	5590
134	869	5568
135	872	5545
136	878	5531
137	883	5517
138	887	5497
139	891	5477
140	897	5465
141	901	5446
142	905	5425
143	911	5416
144	915	5397
145	919	5378
146	923	5359
147	929	5352
148	934	5335
149	938	5316
150	944	5308
151	948	5290
152	952	5271
153	956	5255
154	961	5241
155	965	5226
156	969	5208
157	978	5212
158	983	5203
159	988	5189
160	994	5181
161	998	5164
162	1002	5148
163	1008	5141
164	1012	5125
165	1017	5109
166	1022	5102
167	1027	5087
168	1031	5073
169	1037	5067
170	1043	5057
171	1047	5040
172	1052	5031
173	1058	5022
174	1062	5007
175	1066	4991
176	1072	4985
177	1076	4971
178	1080	4956
179	1085	4943
180	1090	4932
181	1094	4918
182	1098	4903
183	1104	4897
184	1108	4883
185	1112	4868
186	1116	4856
187	1121	4845
188	1126	4831
189	1130	4819
190	1137	4817
191	1141	4803
192	1145	4789
193	1151	4783
194	1155	4771
195	1160	4758
196	1164	4746
197	1169	4737
198	1174	4725
199	1178	4713
200	1184	4707
201	1188	4696
202	1193	4684
203	1198	4675
204	1202	4664
205	1207	4652
206	1211	4640
207	1217	4634
208	1221	4622
209	1225	4610
210	1231	4605
211	1235	4594
212	1240	4581
213	1244	4569
214	1249	4563
215	1254	4551
216	1258	4539
217	1264	4535
218	1268	4525
219	1272	4513
220	1278	4505
221	1284	4500
222	1288	4488
223	1293	4479
224	1300	4479
225	1308	4480
226	1318	4488
227	1323	4482
228	1332	4486
229	1338	4482
230	1348	4488
231	1354	4484
232	1363	4488
233	1370	4486
234	1378	4486
235	1385	4484
236	1391	4480
237	1399	4480
238	1410	4492
239	1417	4490
240	1422	4480
241	1431	4485
242	1439	4484
243	1447	4485
244	1455	4485
245	1463	4484
246	1467	4473
247	1475	4474
248	1482	4471
249	1489	4467
250	1497	4469
251	1506	4473
252	1514	4473
253	1527	4486
254	1533	4478
255	1544	4489
256	1549	4479
257	1558	4482
258	1563	4472
259	1568	4464
260	1574	4457
261	1578	4445
262	1582	4434
263	1588	4428
264	1592	4417
265	1596	4406
266	1603	4402
267	1607	4391
268	1612	4380
269	1618	4375
270	1622	4365
271	1627	4354
272	1631	4344
273	1636	4336
274	1640	4325
275	1644	4314
276	1651	4309
277	1655	4298
278	1659	4287
279	1663	4278
280	1670	4273
281	1674	4263
282	1679	4254
283	1686	4251
284	1692	4245
285	1700	4245
286	1707	4241
287	1712	4233
288	1719	4231
289	1725	4225
290	1735	4227
291	1741	4221
292	1751	4225
293	1757	4221
294	1768	4226
295	1776	4225
296	1785	4225
297	1790	4218
298	1803	4229
299	1813	4232
300	1820	4227
301	1829	4227
302	1833	4218
303	1838	4208
304	1845	4205
305	1849	4195
306	1854	4185
307	1860	4180
308	1864	4170
309	1869	4160
310	1875	4154
311	1879	4145
312	1883	4134
313	1888	4125
314	1893	4117
315	1897	4107
316	1901	4097
317	1908	4092
318	1912	4082
319	1916	4073
320	1922	4067
321	1927	4058
322	1931	4048
323	1936	4039
324	1941	4031
325	1945	4021
326	1949	4012
327	1955	4006
328	1960	3997
329	1964	3987
330	1969	3981
331	1974	3973
332	1979	3963
333	1983	3954
334	1989	3949
335	1993	3940
336	1998	3930
337	2004	3925
338	2008	3916
339	2013	3907
340	2020	3903
341	2025	3897
342	2036	3901
343	2043	3896
344	2048	3889
345	2055	3885
346	2059	3876
347	2065	3869
348	2069	3860
349	2074	3851
350	2078	3842
351	2084	3836
352	2088	3827
353	2092	3818
354	2098	3813
355	2103	3804
356	2107	3795
357	2111	3787
358	2116	3779
359	2121	3770
360	2125	3761
361	2131	3756
362	2136	3749
363	2140	3740
364	2147	3736
365	2151	3727
366	2155	3718
367	2160	3710
368	2165	3703
369	2169	3694
370	2173	3685
371	2180	3680
372	2184	3671
373	2188	3663
374	2193	3656
375	2198	3648
376	2202	3639
377	2206	3630
378	2212	3625
379	2216	3616
380	2220	3608
381	2227	3602
382	2231	3594
383	2235	3586
384	2240	3578
385	2248	3576
386	2256	3573
387	2265	3574
388	2274	3573
389	2282	3570
390	2293	3571
391	2301	3569
392	2315	3575
